"자치구명","생년월일","성별","동일세대_학령기인구수","동일세대_미취학아동수","직업군","세대주여부","1인가구여부","주택보유여부","대출여부","연체여부","사업자여부","동일세대_세대원_수","추정연소득","추정연소득_백분위","총자산평가금액","순자산평가금액","차량보유","주택보유건수","자가거주여부","주택보유건수_가구기준","자가거주여부_가구기준","총대출약정금액","총대출건수","총대출잔액","은행업종대출잔액","주택담보대출잔액","신용대출잔액","자동차대출잔액","LTV","가구단위_LTV","연체건수","연체금액","연체일수","주택담보대출분기상환금액","카드소비금액","신용카드소비금액","체크카드소비금액","일시불이용금액","할부이용금액","현금서비스이용금액","해외카드이용금액","생애최초주택구입연월","카드사_최근1년월평균_이용금액","온라인 카드사용 금액","오프라인 카드사용 금액","온라인_카드사용금액_백분위수","오프라인_카드사용금액_백분위수","사업체건수","사업자카드이용액","사업자대출잔액","연매출추정금액","가구_추정연소득","가구_총자산평가금액","가구_순자산평가금액","가구_차량보유수","가구_총대출약정금액","가구_대출건수","가구_총대출잔액","가구_대출연체건수","가구_카드연체건수","가구_대출연체금액","가구_카드연체금액","가구_신용카드소비금액","가구_체크카드소비금액"
"중구",1929,"여",0,1,910,0,0,0,1,0,0,10,17000,94,223380,223380,0,0,3,0,0,386600,2,194167,238544,410000,0,0,0,0,0,0,0,2861,4683,4683,0,12,4266,0,0,NA,1,0,0,100,100,0,0,0,0,184000,2521270,2521270,0,287050,4,280000,0,0,0,0,20500,1642
"은평구",1946,"여",5,0,510,0,0,0,0,0,0,10,32000,44,162340,163010,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2569,1578,991,1550,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,142000,1054720,974490,0,0,0,0,0,0,0,0,0,1255
"강남구",1977,"여",3,2,420,0,0,0,0,0,0,10,50000,15,1626980,1626980,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,866,819,47,886,0,0,0,NA,1,403000,0,60,100,0,0,0,0,229000,9726270,9820320,0,390265,1,60000,0,0,0,0,18955,0
"용산구",1947,"남",3,1,420,0,0,1,0,0,0,10,27000,60,1157500,1200000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,1592,0,1665,0,0,0,199812,NA,NA,NA,NA,NA,0,0,0,0,238000,3443790,3443790,0,20000,1,20000,0,0,0,0,2621,230
"동작구",1984,"여",1,4,910,0,0,0,0,0,0,10,33000,42,928700,928100,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,134000,4391840,4627550,0,0,0,0,0,0,0,0,22382,1288
"동대문구",2001,"여",3,0,910,0,0,0,0,0,0,10,21000,82,374500,376740,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,603,556,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,263880,2524780,2533360,0,444000,2,388713,0,0,0,0,15847,3832
"관악구",1949,"여",3,0,910,0,0,1,0,0,0,10,21000,82,700000,697380,0,1,3,1,3,0,0,0,0,0,0,0,0,0.01,0,0,0,0,1457,1457,0,1822,193,0,0,NA,1,10000,0,97,100,0,0,0,0,152000,2341130,2336820,0,50000,3,40000,0,0,0,0,6826,6119
"양천구",1966,"남",6,0,910,0,0,1,0,0,0,10,28000,57,1713570,1743360,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,208,264,0,0,0,201106,NA,NA,NA,NA,NA,0,0,0,0,140000,2821160,2821160,0,0,0,0,0,0,0,0,6440,5993
"송파구",1988,"여",2,1,420,0,0,0,0,0,0,10,32000,44,811600,808660,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,0,2116,2095,0,0,0,NA,1,0,786000,100,55,0,0,0,0,237140,3421360,3408360,0,386600,3,376427,0,0,0,0,46164,3461
"구로구",1977,"남",4,0,910,0,0,0,0,0,0,10,44000,20,130070,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560,227,2333,2341,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,166000,701200,688680,0,28669,2,22520,0,0,0,0,14257,2341
"서초구",1999,"여",3,1,420,0,0,0,0,0,0,10,32000,44,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4440,4167,273,3568,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,264000,8101010,8101010,0,520540,4,511137,0,0,0,0,47076,904
"서초구",1978,"여",2,3,420,0,0,0,0,0,0,10,39000,28,1514710,1531750,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,317070,13185080,13730486,1,610000,4,306001,0,0,0,0,47076,1034
"도봉구",1975,"여",4,0,910,0,0,0,0,0,0,10,29000,54,126900,104140,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,205000,2178150,2178150,0,0,0,0,0,0,0,0,21760,25
"노원구",1949,"남",3,0,420,0,0,0,0,0,0,10,37000,32,471280,474670,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4861,4790,71,4919,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,160000,1576860,1627920,1,92670,3,119624,0,0,0,0,23167,6020
"동대문구",1974,"남",4,0,420,0,0,1,1,0,0,10,131920,1,905000,702740,0,2,3,0,1,405000,3,409016,131556,162321,0,0,0,0,0,0,0,1531,15834,15834,0,2522,7413,0,452,200612,1,0,0,100,100,0,0,0,0,385170,3771340,3653210,1,20000,3,14334,0,0,0,0,44138,5367
"강서구",1980,"남",3,0,910,0,0,0,0,0,0,10,31000,47,30900,30900,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,174000,1108920,974490,1,299100,2,235050,0,0,0,0,11297,11452
"송파구",1939,"남",1,0,910,0,0,0,0,0,0,10,21000,82,1502410,1502410,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,863,863,0,211,0,0,0,NA,1,0,290000,100,75,0,0,0,0,514230,11755850,11755850,0,362900,10,227783,0,0,0,0,204071,3500
"중랑구",1962,"여",1,2,910,0,0,0,1,0,0,10,22000,78,450220,450220,0,0,3,0,3,6900,10,7801,9770,0,10160,0,0,0,0,0,0,0,499,416,83,416,0,0,0,NA,1,0,0,100,100,0,0,0,0,120000,415290,352570,1,66000,8,29167,0,0,0,0,22356,4451
"강북구",2001,"여",1,0,910,0,0,0,0,0,0,10,17000,94,96190,96190,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,0,1948,1948,0,0,0,NA,1,320000,573000,65,62,0,0,0,0,254400,1494640,1301020,1,166500,11,103023,0,0,0,0,21444,5781
"구로구",1943,"남",0,1,910,0,0,0,0,0,0,10,31000,47,222610,223950,0,0,3,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,16213,0,16213,22815,0,0,45,NA,1,0,6708000,100,5,0,0,0,0,296000,5235250,5235250,0,0,0,0,0,0,0,0,17767,17781
"구로구",1972,"남",0,0,420,0,0,0,0,0,0,10,61000,9,163010,160000,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9187,7999,1188,9102,0,0,0,NA,1,0,0,100,100,0,0,0,0,299000,6882030,6618730,0,0,0,0,0,0,0,0,17767,1642
"동작구",1949,"남",1,4,420,0,0,1,1,0,0,10,51000,14,1063570,1090460,0,1,1,3,1,346000,3,103398,0,98778,7000,0,0,0,0,0,0,3312,9694,9520,174,8367,1283,0,0,201304,1,87000,0,83,100,0,0,0,0,254000,2896490,2864620,1,57849,3,41207,0,0,0,0,16959,4561
"강북구",2003,"남",1,0,910,0,0,0,0,0,0,10,16000,95,91250,90000,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,197000,1855440,1705440,0,0,0,0,0,0,0,0,16860,679
"동작구",1980,"남",1,4,910,0,0,0,0,0,0,10,28000,57,1255910,1276630,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,327,271,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,172000,3895210,3865000,0,0,0,0,0,0,0,0,18045,38
"광진구",1978,"여",3,0,420,0,0,0,0,0,0,10,43000,22,104690,107960,0,0,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,631,631,0,589,419,0,182,NA,NA,NA,NA,NA,NA,0,0,0,0,346750,4446020,4446020,0,20000,3,3013,0,0,0,0,31270,39626
"강서구",1998,"여",6,1,910,0,0,0,0,0,0,10,20000,85,99870,94240,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,614,667,0,0,0,NA,1,0,0,100,100,0,0,0,0,72000,0,215920,0,50000,10,50000,0,0,0,0,62123,10302
"강서구",1988,"여",1,0,910,0,0,0,1,1,0,10,35000,36,343780,340000,0,0,3,1,1,18600,3,13806,11815,0,13800,0,0,0,1,0,0,0,11385,6995,4390,5039,3338,0,1025,NA,1,316000,0,65,100,0,0,0,0,299000,2879760,2879760,0,520540,9,441529,0,0,0,0,42344,5367
"서초구",1990,"여",0,3,910,0,0,0,0,0,0,10,38000,30,758290,758290,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12259,12259,0,10555,0,0,0,201702,NA,NA,NA,NA,NA,0,0,0,0,265000,13800360,13730486,0,799000,5,709479,0,0,0,0,66394,18417
"강동구",1960,"남",4,0,420,0,0,0,0,0,0,10,31000,47,249270,249270,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2714,2714,0,1739,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,234000,2894620,2896490,2,642300,12,470837,0,0,0,0,30962,14462
"광진구",1994,"여",1,0,910,0,0,0,0,0,0,10,22000,78,196000,196000,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,0,1960,1928,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,151000,1106040,1108920,0,0,0,0,0,0,0,0,0,8736
"중구",2002,"남",2,0,910,0,0,0,0,0,0,10,NA,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,171000,4391840,4391840,0,0,0,0,0,0,0,0,227,119
"종로구",1979,"여",0,0,910,0,0,0,0,0,0,10,41000,24,686430,695000,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,111000,2400000,2383010,0,0,0,0,0,0,0,0,6277,757
"광진구",1976,"남",4,0,420,0,0,1,0,0,0,10,63000,8,861100,861100,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10460,10460,0,11050,1649,0,0,200610,NA,NA,NA,NA,NA,0,0,0,0,216000,3408360,3365010,0,992812,9,680854,0,0,0,0,11628,12505
"송파구",1975,"여",3,0,910,0,0,0,0,0,0,10,27000,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,82,951,908,0,0,0,NA,NA,NA,NA,NA,NA,0,0,7650000,0,429690,3239120,3262130,1,70000,3,19193,0,0,0,0,204071,9101
"강남구",1954,"여",3,1,910,0,0,0,0,0,0,10,28000,57,849400,853790,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5245,5245,0,4339,98,0,0,NA,1,0,0,100,100,0,0,0,0,216000,2894620,2913590,0,697800,9,659550,0,0,0,0,31703,3169
"강동구",1947,"남",4,0,510,0,0,0,1,0,1,10,26000,64,628700,637010,0,0,3,0,1,200000,5,161774,164950,0,11774,0,0,0,0,0,0,0,6159,6159,0,8584,4236,1300,837,199906,2,2181000,2313000,17,24,1,0,200000,607000,134000,2400000,2408060,0,280000,6,275068,0,0,0,0,25946,1109
"관악구",2009,"남",3,0,910,0,0,0,0,0,0,10,16000,95,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,148,195,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,140000,2042310,2006230,0,0,0,0,0,0,0,0,5892,481
"강북구",2008,"여",3,0,910,0,0,0,0,0,0,10,15000,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,151,151,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,239000,1982050,1982050,1,240000,11,154778,0,0,0,0,21444,8033
"서초구",1977,"남",3,1,410,0,0,1,0,0,0,10,110000,2,669340,669340,0,1,1,1,1,0,0,0,0,0,0,0,0,0.05,0,0,0,0,3427,3342,85,3501,80,0,0,201106,NA,NA,NA,NA,NA,0,0,0,0,221000,3421360,3382600,0,240000,5,165647,0,0,0,0,66394,2593
"관악구",2002,"남",2,0,910,0,0,0,0,0,0,10,17000,94,131880,134250,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,1660,1629,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,385170,3771340,3653210,2,731380,18,584079,0,0,0,0,44138,5367
"구로구",1952,"여",4,0,510,0,0,1,0,0,0,10,63000,8,364520,314520,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,227,227,0,0,0,0,0,201306,NA,NA,NA,NA,NA,0,0,0,0,155000,701200,696570,1,62000,2,50000,0,0,0,0,14257,2235
"동대문구",1970,"남",0,0,420,0,0,0,0,0,0,10,36000,34,289030,279460,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,299000,5039520,4979020,0,171400,2,186224,0,0,0,0,20609,8961
"서초구",1954,"여",2,1,420,0,0,1,0,0,0,10,30000,51,1250000,1231660,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199504,NA,NA,NA,NA,NA,0,0,0,0,223000,5104860,4979020,0,222433,6,164950,0,0,0,0,69961,0
"강남구",1972,"남",3,1,420,0,0,0,0,0,0,10,62000,8,425300,430750,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7999,7999,0,8148,0,0,32,NA,2,1431000,766000,27,55,0,0,0,0,416220,4294140,4315000,0,531000,6,436955,0,0,0,0,44138,0
"관악구",1974,"여",4,0,510,0,0,0,0,0,0,10,30000,51,480450,480450,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,261120,1627920,1511530,2,642300,15,327064,0,0,0,0,38584,11833
"양천구",1980,"남",4,0,420,0,0,0,1,0,0,10,46000,18,327460,327890,0,0,3,3,0,30000,2,23570,2891,0,23466,0,0,0,0,0,0,0,16767,16690,77,16780,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,135000,1106040,1108920,0,25800,3,5971,0,0,0,0,9317,0
"서초구",1941,"여",2,1,910,0,0,0,0,0,0,10,32000,44,1250000,1218750,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,682,682,0,863,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,229000,5273430,5276080,0,240000,8,182156,0,0,0,0,66394,2777
"성동구",1995,"여",2,0,910,0,0,0,0,0,0,10,24000,71,860000,755460,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0,826,779,0,0,0,NA,1,85000,0,83,100,0,0,0,0,152000,2109240,2042310,0,5000,1,0,0,0,0,0,1185,679
"은평구",1966,"남",3,0,510,0,0,0,1,0,0,10,56000,11,405350,406770,0,0,3,1,1,80000,2,5523,4375,0,0,0,0,0,0,0,0,0,11115,11115,0,8550,891,0,0,NA,2,3392000,4491000,9,9,0,0,0,0,160000,1746870,1688630,0,28669,2,36667,0,0,0,0,28700,1835
"강서구",1968,"남",3,0,510,0,0,0,1,0,0,10,65000,7,87910,104690,0,0,3,0,0,20000,1,13806,0,0,12868,0,0,0,0,0,0,0,1890,0,1890,1938,0,230,0,NA,NA,NA,NA,NA,NA,0,0,0,0,187000,789100,734100,1,299100,2,235050,0,0,0,0,10229,11579
"영등포구",2000,"여",0,0,910,0,0,0,0,0,0,10,23000,74,195870,196000,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,235000,100,78,0,0,0,0,160000,1349720,1221560,0,0,0,0,0,0,0,0,5892,4248
"강동구",1998,"여",4,0,910,0,0,0,1,0,0,10,22000,78,480450,450000,0,0,3,0,0,24400,1,15000,0,0,0,0,0,0,0,0,0,0,1269,0,1269,1333,0,0,0,NA,1,0,0,100,100,0,0,0,0,311000,13800360,13045332,0,85000,2,100871,0,0,0,0,47074,1837
"양천구",1969,"여",2,0,420,0,0,0,0,0,0,10,48000,16,637010,637010,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5987,1468,4519,4874,0,0,0,NA,1,0,0,100,100,0,0,0,0,129230,2513290,2521270,0,0,0,0,0,0,0,0,10130,2302
"양천구",1952,"남",4,1,420,0,0,1,0,0,0,10,35000,36,875830,860000,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4891,4790,101,5226,0,0,0,199902,NA,NA,NA,NA,NA,0,0,0,0,88000,2796090,2820000,0,0,0,0,0,0,0,0,7746,74
"강남구",1942,"남",1,1,420,0,0,1,1,0,0,10,33000,42,1372460,1386040,0,1,1,3,1,3800,1,6004,0,0,0,0,0,0,0,0,0,0,19630,14328,5302,12255,0,7950,0,200508,1,0,122000,100,86,0,0,0,0,112000,4391840,4627550,1,10000,8,0,0,0,0,0,32225,22436
"성동구",1966,"남",1,0,910,0,0,1,0,0,0,10,32000,44,1889520,2036800,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,47,0,0,0,201501,NA,NA,NA,NA,NA,0,0,0,0,456000,12362690,11750250,0,485000,4,306001,0,0,0,0,32468,2171
"강동구",1980,"여",3,2,420,0,0,0,0,0,0,10,37000,32,353160,346450,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6122,6122,0,6945,0,0,51,NA,NA,NA,NA,NA,NA,0,0,0,0,107000,1477800,1480700,0,0,0,0,0,0,0,0,18045,0
"동대문구",2006,"여",5,0,910,0,0,0,0,0,0,10,15000,98,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,151,127,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,178450,2402250,2402250,0,60000,2,28913,0,0,0,0,14257,2593
"강남구",1967,"남",1,0,510,0,0,1,0,0,0,10,49000,15,1455490,1459420,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0,82,0,0,403,201204,1,0,62000,100,91,0,0,0,0,637230,11186540,11116666,2,1697000,6,1505554,0,0,0,0,63729,20930
"강북구",2003,"여",3,0,910,0,0,0,0,0,0,10,16000,95,96190,99870,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,657,623,0,0,0,NA,1,15000,0,95,100,0,0,0,0,211870,1613020,1521730,0,25800,1,13800,0,0,0,0,16860,7421
"강북구",1952,"여",3,0,910,0,0,0,1,0,0,10,21000,82,1364720,1294840,0,0,3,0,0,8000,13,3013,0,0,2193,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,NA,NA,NA,NA,NA,NA,0,0,0,0,172000,3357180,3426860,0,0,0,0,0,0,0,0,5454,1188
"관악구",1961,"여",2,3,510,0,0,1,0,0,0,10,37000,32,224780,235580,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5865,5865,0,2757,4948,0,0,201802,1,4208000,49000,6,93,0,0,0,0,180200,2521270,2688330,0,68900,1,35474,0,0,0,0,12617,4881
"강서구",1998,"남",3,1,910,0,0,0,0,0,0,10,20000,85,223380,223380,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,1128,1441,0,0,0,NA,1,0,193000,100,80,0,0,0,0,148830,1558410,1558410,0,92670,18,55156,1,0,4439,0,29481,11452
"서초구",1949,"남",4,0,440,0,0,1,1,0,1,10,98000,2,1912000,1713010,0,1,1,1,1,300000,2,201312,280876,190000,92839,0,0.16,0,0,0,0,2906,23096,23096,0,6576,6289,0,0,200212,NA,NA,NA,NA,NA,2,0,39000,2834000,311000,8570740,8302352,1,610700,5,469765,0,0,0,0,63040,20930
"중랑구",2000,"남",0,0,420,0,0,0,0,0,0,10,34000,39,377730,377730,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5470,873,4597,4598,439,0,0,NA,1,0,0,100,100,0,0,0,0,77390,415290,507380,1,14900,10,13109,0,0,0,0,416,8961
"동대문구",1971,"여",1,0,910,0,0,1,1,0,0,10,35000,36,1807500,1807500,0,18,1,23,1,3800,1,2193,1335,0,0,0,0,0,0,0,0,0,12422,12360,62,10745,3110,0,0,200509,3,3392000,2313000,9,24,0,0,0,0,86000,1783520,1641780,0,80000,3,66627,0,0,0,0,16541,7
"강남구",1966,"여",0,0,910,0,0,0,0,0,0,10,32000,44,807200,810830,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,682,0,743,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,319000,6090550,6111546,0,531000,3,511137,0,0,0,0,28320,0
"서대문구",1982,"여",0,0,410,0,0,1,1,0,0,10,101820,2,960000,934320,0,1,3,2,3,600000,2,542812,578899,276000,0,0,0,0,0,0,0,3312,14723,14723,0,16538,0,0,618,201410,NA,NA,NA,NA,NA,0,0,0,0,294940,6090550,6111546,0,0,0,0,0,0,0,0,20609,8833
"마포구",1973,"여",3,0,420,0,0,0,0,0,0,10,30000,51,235170,240000,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,NA,NA,NA,NA,NA,NA,0,0,0,0,418000,2830380,2830380,1,0,0,0,0,0,0,0,9282,3760
"강서구",1931,"남",2,0,910,0,0,1,1,0,0,10,46000,18,697380,725000,0,1,1,1,1,15000,2,4029,5971,0,5382,0,0,0,0,0,0,0,24856,24773,83,18518,602,0,0,201506,4,6820000,12298000,3,2,0,0,0,0,216000,4756690,4979020,0,0,0,0,0,0,0,0,31871,7042
"관악구",1968,"여",3,1,510,0,0,0,1,0,1,10,45000,19,500000,489500,0,0,3,0,3,14400,2,4082,0,0,0,0,0,0,0,0,0,0,1146,1146,0,765,854,0,0,NA,1,0,0,100,100,1,0,10340,334000,197000,1855440,1746870,0,82200,3,130000,0,0,0,0,32468,481
"영등포구",1953,"여",3,0,510,0,0,0,0,0,0,10,35000,36,613690,600000,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6122,6122,0,5149,1574,0,0,NA,2,1400000,1243000,28,42,0,0,0,0,311000,5039520,4979020,1,45000,4,0,0,0,0,0,38525,746
"강동구",1977,"남",5,0,520,0,0,1,0,0,1,10,168000,1,841640,734510,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21663,21663,0,36781,0,0,4139,201709,NA,NA,NA,NA,NA,1,4039,113343,1043000,534230,8570740,7917186,0,563000,12,436955,0,0,0,0,66787,1573
